60.746.948/0002-01,C:\desif\2018\60746948.DESIF,60.746.948/0002-01,60.746.948/0002-01
60.770.336/0014-80,C:\desif\2018\60770336.DESIF,60.770.336/0014-80,60.770.336/0014-80
60.889.128/0005-03,C:\desif\2018\60889128.DESIF,60.889.128/0005-03,60.889.128/0005-03
61.024.352/0007-67,C:\desif\2018\61024352.DESIF,61.024.352/0007-67,61.024.352/0007-67
61.186.680/0002-55,C:\desif\2018\61186680.DESIF,61.186.680/0002-55,61.186.680/0002-55
61.747.085/0006-75,C:\desif\2018\61747085.DESIF,61.747.085/0006-75,61.747.085/0006-75
61.809.182/0002-11,C:\desif\2018\61809182.DESIF,61.809.182/0002-11,61.809.182/0002-11
61.855.045/0033-10,C:\desif\2018\61855045.DESIF,61.855.045/0033-10,61.855.045/0033-10
62.073.200/0006-36,C:\desif\2018\62073200.DESIF,62.073.200/0006-36,62.073.200/0006-36
62.144.175/0012-82,C:\desif\2018\62144175.DESIF,62.144.175/0012-82,62.144.175/0012-82
62.232.889/0010-80,C:\desif\2018\62232889.DESIF,62.232.889/0010-80,62.232.889/0010-80
62.232.889/0082-55,C:\desif\2018\62232889.DESIF,62.232.889/0082-55,62.232.889/0082-55
62.285.390/0006-55,C:\desif\2018\62285390.DESIF,62.285.390/0006-55,62.285.390/0006-55
65.913.436/0003-89,C:\desif\2018\65913436.DESIF,65.913.436/0003-89,65.913.436/0003-89
68.742.204/0001-31,C:\desif\2018\68742204.DESIF,68.742.204/0001-31,68.742.204/0001-31
68.900.810/0002-19,C:\desif\2018\68900810.DESIF,68.900.810/0002-19,68.900.810/0002-19
71.677.850/0005-09,C:\desif\2018\71677850.DESIF,71.677.850/0005-09,71.677.850/0005-09
73.622.748/0001-08,C:\desif\2018\73622748.DESIF,73.622.748/0001-08,73.622.748/0001-08
90.400.888/0003-04,C:\desif\2018\90400888.DESIF,90.400.888/0003-04,90.400.888/0003-04
92.702.067/0133-36,C:\desif\2018\92702067.DESIF,92.702.067/0133-36,92.702.067/0133-36
97.406.706/0003-51,C:\desif\2018\97406706.DESIF,97.406.706/0003-51,97.406.706/0003-51
97.447.304/0001-33,C:\desif\2018\97447304.DESIF,97.447.304/0001-33,97.447.304/0001-33
00.000.208/0022-35,C:\desif\2019\00000208.DESIF,00.000.208/0022-35,00.000.208/0022-35
00.360.305/5499-47,C:\desif\2019\00360305.DESIF,00.360.305/5499-47,00.360.305/5499-47
00.360.305/5548-60,C:\desif\2019\00360305.DESIF,00.360.305/5548-60,00.360.305/5548-60
00.416.968/0022-28,C:\desif\2019\00416968.DESIF,00.416.968/0022-28,00.416.968/0022-28
00.460.065/0001-10,C:\desif\2019\00460065.DESIF,00.460.065/0001-10,00.460.065/0001-10
00.460.065/0004-62,C:\desif\2019\00460065.DESIF,00.460.065/0004-62,00.460.065/0004-62
00.655.522/0048-95,C:\desif\2019\00655522.DESIF,00.655.522/0048-95,00.655.522/0048-95
00.806.535/0002-35,C:\desif\2019\00806535.DESIF,00.806.535/0002-35,00.806.535/0002-35
01.149.953/0051-48,C:\desif\2019\01149953.DESIF,01.149.953/0051-48,01.149.953/0051-48
01.522.368/0003-44,C:\desif\2019\01522368.DESIF,01.522.368/0003-44,01.522.368/0003-44
01.582.158/0001-80,C:\desif\2019\01582158.DESIF,01.582.158/0001-80,01.582.158/0001-80
01.800.019/0014-08,C:\desif\2019\01800019.DESIF,01.800.019/0014-08,01.800.019/0014-08
02.201.501/0001-61,C:\desif\2019\02201501.DESIF,02.201.501/0001-61,02.201.501/0001-61
02.276.653/0003-95,C:\desif\2019\02276653.DESIF,02.276.653/0003-95,02.276.653/0003-95
02.332.886/0001-04,C:\desif\2019\02332886.DESIF,02.332.886/0001-04,02.332.886/0001-04
03.282.508/0001-18,C:\desif\2019\03282508.DESIF,03.282.508/0001-18,03.282.508/0001-18
03.323.840/0004-26,C:\desif\2019\03323840.DESIF,03.323.840/0004-26,03.323.840/0004-26
03.384.738/0005-11,C:\desif\2019\03384738.DESIF,03.384.738/0005-11,03.384.738/0005-11
03.751.794/0003-85,C:\desif\2019\03751794.DESIF,03.751.794/0003-85,03.751.794/0003-85
04.257.795/0003-30,C:\desif\2019\04257795.DESIF,04.257.795/0003-30,04.257.795/0003-30
04.316.357/0001-34,C:\desif\2019\04316357.DESIF,04.316.357/0001-34,04.316.357/0001-34
04.913.129/0034-00,C:\desif\2019\04913129.DESIF,04.913.129/0034-00,04.913.129/0034-00
05.389.174/0001-01,C:\desif\2019\05389174.DESIF,05.389.174/0001-01,05.389.174/0001-01
05.816.451/0002-04,C:\desif\2019\05816451.DESIF,05.816.451/0002-04,05.816.451/0002-04
05.940.203/0001-81,C:\desif\2019\05940203.DESIF,05.940.203/0001-81,05.940.203/0001-81
07.138.049/0001-54,C:\desif\2019\07138049.DESIF,07.138.049/0001-54,07.138.049/0001-54
07.237.373/0064-03,C:\desif\2019\07237373.DESIF,07.237.373/0064-03,07.237.373/0064-03
07.450.604/0014-01,C:\desif\2019\07450604.DESIF,07.450.604/0014-01,07.450.604/0014-01
07.652.226/0001-16,C:\desif\2019\07652226.DESIF,07.652.226/0001-16,07.652.226/0001-16
08.609.934/0007-22,C:\desif\2019\08609934.DESIF,08.609.934/0007-22,08.609.934/0007-22
09.105.360/0001-22,C:\desif\2019\09105360.DESIF,09.105.360/0001-22,09.105.360/0001-22
10.690.848/0002-24,C:\desif\2019\10690848.DESIF,10.690.848/0002-24,10.690.848/0002-24
10.749.264/0001-04,C:\desif\2019\10749264.DESIF,10.749.264/0001-04,10.749.264/0001-04
10.853.017/0009-00,C:\desif\2019\10853017.DESIF,10.853.017/0009-00,10.853.017/0009-00
12.063.256/0001-27,C:\desif\2019\12063256.DESIF,12.063.256/0001-27,12.063.256/0001-27
